Date,arrivals
1970-01,5158
1970-02,5436
1970-03,4814
1970-04,3284
1970-05,3754
1970-06,2121
1970-07,2596
1970-08,3352
1970-09,3074
1970-10,3408
1970-11,3663
1970-12,5587
1971-01,5931
1971-02,6570
1971-03,5166
1971-04,1539
1971-05,952
1971-06,961
1971-07,1897
1971-08,2467
1971-09,1881
1971-10,2585
1971-11,4003
1971-12,5702
1972-01,5762
1972-02,5848
1972-03,5564
1972-04,3091
1972-05,3282
1972-06,2302
1972-07,3703
1972-08,4634
1972-09,3402
1972-10,4476
1972-11,6155
1972-12,7828
1973-01,9386
1973-02,8343
1973-03,7875
1973-04,5468
1973-05,4168
1973-06,3246
1973-07,5919
1973-08,6680
1973-09,4184
1973-10,5977
1973-11,7137
1973-12,9505
1974-01,10915
1974-02,9648
1974-03,9847
1974-04,6400
1974-05,3241
1974-06,3303
1974-07,5404
1974-08,6147
1974-09,4986
1974-10,6199
1974-11,8338
1974-12,10583
1975-01,11740
1975-02,10388
1975-03,11158
1975-04,5890
1975-05,5587
1975-06,4787
1975-07,5925
1975-08,3481
1975-09,5287
1975-10,7622
1975-11,11271
1975-12,14984
1976-01,15627
1976-02,15214
1976-03,13431
1976-04,8886
1976-05,6097
1976-06,4550
1976-07,4278
1976-08,8565
1976-09,6707
1976-10,10636
1976-11,13600
1976-12,16464
1977-01,17569
1977-02,18064
1977-03,18216
1977-04,9891
1977-05,7602
1977-06,5536
1977-07,9881
1977-08,11129
1977-09,7594
1977-10,11541
1977-11,17106
1977-12,19536
1978-01,23114
1978-02,22427
1978-03,20497
1978-04,11545
1978-05,8803
1978-06,7134
1978-07,13252
1978-08,15542
1978-09,10245
1978-10,14340
1978-11,20759
1978-12,24934
1979-01,28366
1979-02,25226
1979-03,25472
1979-04,18847
1979-05,13042
1979-06,10674
1979-07,16801
1979-08,20203
1979-09,14798
1979-10,19376
1979-11,25743
1979-12,31616
1980-01,36108
1980-02,33896
1980-03,34416
1980-04,21806
1980-05,19462
1980-06,15082
1980-07,22986
1980-08,27440
1980-09,19962
1980-10,23646
1980-11,28988
1980-12,37982
1981-01,45168
1981-02,39384
1981-03,38376
1981-04,28568
1981-05,21642
1981-06,16836
1981-07,28226
1981-08,32788
1981-09,24086
1981-10,27030
1981-11,29512
1981-12,39086
1982-01,40932
1982-02,40148
1982-03,42178
1982-04,29606
1982-05,28972
1982-06,25772
1982-07,30942
1982-08,34332
1982-09,29754
1982-10,30296
1982-11,33748
1982-12,40550
1983-01,49104
1983-02,44018
1983-03,44710
1983-04,32556
1983-05,32850
1983-06,24350
1983-07,25132
1983-08,8430
1983-09,10050
1983-10,16410
1983-11,20570
1983-12,29350
1984-01,33546
1984-02,32406
1984-03,32628
1984-04,23684
1984-05,18224
1984-06,17866
1984-07,26694
1984-08,27626
1984-09,21764
1984-10,25800
1984-11,27906
1984-12,29590
1985-01,28814
1985-02,27012
1985-03,29886
1985-04,19778
1985-05,14014
1985-06,11092
1985-07,18362
1985-08,20138
1985-09,15242
1985-10,18176
1985-11,23218
1985-12,31724
1986-01,32890
1986-02,30512
1986-03,28932
1986-04,19262
1986-05,13100
1986-06,9536
1986-07,12330
1986-08,15190
1986-09,12398
1986-10,12732
1986-11,18114
1986-12,25110
1987-01,25446
1987-02,23714
1987-03,22838
1987-04,16238
1987-05,8204
1987-06,7650
1987-07,10200
1987-08,11408
1987-09,10072
1987-10,12146
1987-11,14188
1987-12,20516
1988-01,20400
1988-02,19150
1988-03,19430
1988-04,13834
1988-05,11124
1988-06,11540
1988-07,17660
1988-08,18670
1988-09,14980
1988-10,16742
1988-11,10560
1988-12,8572
1989-01,12962
1989-02,12344
1989-03,16032
1989-04,12312
1989-05,12750
1989-06,11630
1989-07,15194
1989-08,17220
1989-09,14264
1989-10,15050
1989-11,18948
1989-12,26026
1990-01,26592
1990-02,26368
1990-03,26946
1990-04,22788
1990-05,18286
1990-06,18050
1990-07,26410
1990-08,26786
1990-09,22438
1990-10,23060
1990-11,24596
1990-12,35568
1991-01,26592
1991-02,26368
1991-03,26946
1991-04,22788
1991-05,18286
1991-06,18050
1991-07,26410
1991-08,26786
1991-09,22438
1991-10,23060
1991-11,24596
1991-12,35568
1992-01,28932
1992-02,28080
1992-03,27153
1992-04,20541
1992-05,17745
1992-06,17394
1992-07,30645
1992-08,28824
1992-09,24762
1992-10,25173
1992-11,28272
1992-12,40182
1993-01,35730
1993-02,38859
1993-03,33399
1993-04,28410
1993-05,21024
1993-06,23157
1993-07,33771
1993-08,40143
1993-09,29838
1993-10,32079
1993-11,35967
1993-12,41292
1994-01,42726
1994-02,40116
1994-03,37953
1994-04,29589
1994-05,22368
1994-06,20412
1994-07,32904
1994-08,32796
1994-09,27495
1994-10,30621
1994-11,35103
1994-12,40167
1995-01,45402
1995-02,41067
1995-03,41277
1995-04,28080
1995-05,21777
1995-06,21399
1995-07,35370
1995-08,32817
1995-09,31062
1995-10,33216
1995-11,33306
1995-12,42738
1996-01,45987
1996-02,42591
1996-03,40074
1996-04,33756
1996-05,24672
1996-06,22416
1996-07,35994
1996-08,35814
1996-09,30828
1996-10,30603
1996-11,28365
1996-12,32001
1997-01,30957
1997-02,29550
1997-03,26442
1997-04,20376
1997-05,17655
1997-06,19668
1997-07,25380
1997-08,24765
1997-09,23211
1997-10,23511
1997-11,24921
1997-12,35829
1998-01,32652
1998-02,35010
1998-03,34098
1998-04,26907
1998-05,22407
1998-06,23160
1998-07,30867
